"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.489578200E-2,-2.811865807E0,-1.280548954E1,-6.736393929E0
3.741833400E-2,-2.775973320E0,-1.285125256E1,-6.695715904E0
3.994343800E-2,-2.701496840E0,-1.274088287E1,-6.458527565E0
4.246854200E-2,-2.658426046E0,-1.271456242E1,-6.271588326E0
4.499645900E-2,-2.711068153E0,-1.265713406E1,-6.163911343E0
4.751885500E-2,-2.833401203E0,-1.264517021E1,-6.037091732E0
5.003937500E-2,-2.969791889E0,-1.270020485E1,-5.893223286E0
5.266468800E-2,-3.106482029E0,-1.285125256E1,-5.749653816E0
5.518520900E-2,-3.204587698E0,-1.302353573E1,-5.498108387E0
5.770573000E-2,-3.331706524E0,-1.319611740E1,-5.176871777E0
6.022625000E-2,-3.391526937E0,-1.338305664E1,-4.765007019E0
6.022630200E-2,-3.374777317E0,-1.356969738E1,-4.192524433E0
6.520010500E-2,-3.132802963E0,-1.373031521E1,-3.531208038E0
6.772062500E-2,-2.826222658E0,-1.399861050E1,-2.776571512E0
7.026468800E-2,-2.550748825E0,-1.417328644E1,-2.062912226E0
7.280880200E-2,-2.344667196E0,-1.416371536E1,-1.387238979E0
7.535286500E-2,-1.990230203E0,-1.405125237E1,-7.740781307E-1
7.789692700E-2,-1.611566067E0,-1.394118309E1,-4.938187599E-1
8.041744800E-2,-1.249950767E0,-1.378295708E1,-3.595215976E-1
8.295526100E-2,-9.266205430E-1,-1.355773354E1,-1.417747438E-1
8.544385500E-2,-5.479564071E-1,-1.329900932E1,2.105683982E-1
8.792588600E-2,-2.318046987E-1,-1.302114296E1,4.091726840E-1
9.053687500E-2,-1.193420291E-1,-1.274327564E1,5.530411601E-1
9.301921900E-2,7.776673418E-3,-1.247498131E1,7.974081635E-1
9.550125000E-2,6.759724021E-2,-1.215882874E1,1.048953652E0
9.815520900E-2,7.477571070E-2,-1.186421299E1,1.350748420E0
1.005946360E-1,-1.615155302E-2,-1.159113216E1,1.647757530E0
1.031197400E-1,-2.054836452E-1,-1.124626637E1,1.925624013E0
1.056017710E-1,-5.096712112E-1,-1.093938732E1,2.275275230E0
1.081852090E-1,-7.731808424E-1,-1.064477062E1,2.651546478E0
1.107686460E-1,-1.003190875E0,-1.042911720E1,3.061018467E0
1.132202610E-1,-1.221236825E0,-1.031426239E1,3.432504177E0
1.157453650E-1,-1.333699465E0,-1.025204849E1,3.818047523E0
1.182705210E-1,-1.420140266E0,-1.013450146E1,4.261318207E0
1.207956250E-1,-1.477568030E0,-9.870991707E0,4.677968502E0
1.233207820E-1,-1.585245013E0,-9.559625626E0,5.027918816E0
1.258458860E-1,-1.556531072E0,-9.293723106E0,5.356034279E0
1.283710420E-1,-1.525424480E0,-9.006285667E0,5.727221012E0
1.308961980E-1,-1.417747378E0,-8.821739197E0,6.158527374E0
1.334212500E-1,-1.336092353E0,-8.682954788E0,6.587440968E0
1.359464070E-1,-1.340878010E0,-8.510373116E0,6.925127983E0
1.384715630E-1,-1.340878010E0,-8.362017632E0,7.131209850E0
1.409966670E-1,-1.302592874E0,-8.323732376E0,7.253243446E0
1.435217710E-1,-1.228415370E0,-8.249256134E0,7.238886833E0
1.460469270E-1,-1.166201949E0,-8.210970879E0,7.121638298E0
1.485720840E-1,-1.072582722E0,-8.117650986E0,6.809973240E0
1.510971360E-1,-1.094118118E0,-7.937890053E0,6.345466614E0
1.536222920E-1,-1.175773263E0,-7.763214111E0,5.727221012E0
1.561473960E-1,-1.324128270E0,-7.588238716E0,5.049454212E0
1.586725520E-1,-1.456032634E0,-7.502097130E0,4.266103745E0
1.611977090E-1,-1.511067510E0,-7.489833832E0,3.415754318E0
1.637228130E-1,-1.503889084E0,-7.418049335E0,2.428714991E0
1.662479170E-1,-1.460818172E0,-7.441977501E0,1.173380375E0
1.687730730E-1,-1.393520117E0,-7.557132244E0,-4.124628007E-1
1.712981770E-1,-1.331306696E0,-7.686344624E0,-2.000698805E0
1.738233340E-1,-1.321735382E0,-7.866105556E0,-3.519243956E0
1.763484380E-1,-1.309771299E0,-8.012067795E0,-4.954339504E0
1.788735420E-1,-1.254736423E0,-8.141578674E0,-6.269195557E0
1.813986980E-1,-1.185344458E0,-8.172685623E0,-6.992724895E0
1.839238020E-1,-1.134796143E0,-8.151150703E0,-7.337590694E0
1.864489590E-1,-1.228415370E0,-8.155936241E0,-7.733004570E0
1.889740630E-1,-1.302592874E0,-8.230113029E0,-8.303094864E0
1.914992190E-1,-1.408176184E0,-8.230113029E0,-8.894720078E0
1.940243230E-1,-1.518245935E0,-8.304590225E0,-9.462417603E0
1.965494270E-1,-1.534995675E0,-8.345268250E0,-9.836296082E0
1.990745840E-1,-1.534995675E0,-8.328517914E0,-9.845867157E0
2.015996880E-1,-1.506281853E0,-8.239685059E0,-9.591928482E0
2.041248440E-1,-1.690828323E0,-8.199007034E0,-8.969196320E0
2.066499480E-1,-1.934896231E0,-8.187042236E0,-8.027621269E0
2.091751050E-1,-2.093121529E0,-8.189435959E0,-7.093522549E0
2.117002090E-1,-2.234597206E0,-8.086544037E0,-6.147161484E0
2.142253130E-1,-2.347059965E0,-8.069794655E0,-5.217848778E0
2.167504690E-1,-2.522035122E0,-7.887640953E0,-4.199702740E0
2.192755730E-1,-2.684746981E0,-7.681559086E0,-3.277269602E0
2.218007300E-1,-2.826222658E0,-7.480262756E0,-2.335993052E0
2.243258340E-1,-2.914757013E0,-7.226623535E0,-1.569392562E0
2.268509900E-1,-2.969791889E0,-6.869494915E0,-8.171489239E-1
2.293760940E-1,-3.068196774E0,-6.491129398E0,-1.728814393E-1
2.319012500E-1,-3.151945591E0,-6.110072613E0,3.613162339E-1
2.344263550E-1,-3.324527979E0,-5.686244011E0,8.045865893E-1
2.369514590E-1,-3.501596928E0,-5.231009483E0,1.111167073E0
2.394766150E-1,-3.700500250E0,-4.804488659E0,1.333998680E0
2.420017190E-1,-3.861118555E0,-4.361517429E0,1.362712502E0
2.445268750E-1,-3.760320902E0,-3.975674868E0,9.819545746E-1
2.470519800E-1,-3.503989697E0,-3.695415497E0,4.429712892E-1
2.495771360E-1,-3.317349434E0,-3.496811152E0,1.483550072E-1
2.521022400E-1,-3.125624657E0,-3.228515863E0,-1.250249892E-1
2.546273960E-1,-2.881257534E0,-2.907279491E0,-4.459623098E-1
2.571525000E-1,-2.670390129E0,-2.655734062E0,-7.070791125E-1
2.596776050E-1,-2.512463808E0,-2.267797709E0,-9.681958556E-1
2.622027610E-1,-2.289632082E0,-1.949253201E0,-1.173978567E0
2.647278650E-1,-2.308774710E0,-1.704886079E0,-1.185942769E0
2.672529690E-1,-2.366202593E0,-1.383948803E0,-1.353739381E0
2.697781250E-1,-2.375773668E0,-1.115653515E0,-1.500000715E0
2.723032300E-1,-2.373380899E0,-9.933205247E-1,-1.614856124E0
2.748283860E-1,-2.382952213E0,-8.090731502E-1,-1.662712693E0
2.773534900E-1,-2.380559444E0,-7.226324677E-1,-1.691426516E0
2.798786460E-1,-2.435594320E0,-7.034898400E-1,-1.751546144E0
2.824037500E-1,-2.461915493E0,-8.138588071E-1,-1.859223247E0
2.849288550E-1,-2.440380096E0,-9.669994712E-1,-1.904686809E0
2.874540110E-1,-2.577069998E0,-1.043569803E0,-1.976471543E0
2.899791670E-1,-2.764009237E0,-1.096511006E0,-2.024626970E0
2.925042710E-1,-2.914757013E0,-1.206580877E0,-2.041376829E0
2.950294270E-1,-3.017947674E0,-1.415055513E0,-2.139482498E0
2.975545320E-1,-3.216551781E0,-1.450947881E0,-2.216052771E0
3.000796360E-1,-3.470490217E0,-1.544267893E0,-2.177767754E0
3.026047920E-1,-3.681357622E0,-1.640279889E0,-2.204088688E0
3.051298960E-1,-3.877868176E0,-1.735992789E0,-2.230409861E0
3.076550520E-1,-3.980759621E0,-1.939681888E0,-2.184946060E0
3.101801570E-1,-4.069293976E0,-2.174477577E0,-2.098804474E0
3.127052610E-1,-4.143770695E0,-2.270190477E0,-2.043769598E0
3.152304170E-1,-4.105485439E0,-2.414058924E0,-1.983649969E0
3.177555210E-1,-4.057330132E0,-2.519343138E0,-1.844866276E0
3.202806770E-1,-4.098307133E0,-2.545664072E0,-1.806581140E0
3.228057820E-1,-4.002295017E0,-2.581556559E0,-1.775474429E0
3.253308860E-1,-3.930510283E0,-2.687139750E0,-1.847259045E0
3.278560420E-1,-3.846761465E0,-2.708675146E0,-1.866401672E0
3.303811460E-1,-3.731606960E0,-2.756531715E0,-1.990828395E0
3.329063020E-1,-3.600001574E0,-2.828316450E0,-2.220838547E0
3.354314070E-1,-3.537489176E0,-2.775674343E0,-2.381456852E0
3.379565630E-1,-3.484847069E0,-2.739781857E0,-2.635395050E0
3.404816670E-1,-3.499203920E0,-2.617448807E0,-2.915654421E0
3.430067710E-1,-3.580859184E0,-2.524128675E0,-3.136093140E0
3.455319270E-1,-3.640679598E0,-2.459522486E0,-3.382853031E0
3.480570840E-1,-3.664607763E0,-2.368296146E0,-3.514458179E0
3.506985420E-1,-3.671786308E0,-2.248655081E0,-3.655933857E0
3.532236460E-1,-3.707678795E0,-2.205584288E0,-3.768396616E0
3.557488020E-1,-3.695714474E0,-2.253440619E0,-3.847359657E0
3.582739070E-1,-3.647858143E0,-2.339582443E0,-3.907479286E0
