"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.753536500E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.257640700E-2,3.109679222E-1,-2.674865723E-1,8.658773899E-1
7.761744800E-2,5.876729488E-1,-2.440977097E-1,1.647928476E0
8.264385500E-2,1.023412466E0,-4.171562195E-2,1.904920340E0
8.773687500E-2,1.397379994E0,2.794733047E-1,2.061327219E0
9.270125000E-2,1.646984458E0,6.631641388E-1,2.236570120E0
9.779463600E-2,1.600368977E0,1.034525871E0,2.426517010E0
1.028017710E-1,1.391573429E0,1.408041954E0,2.737741947E0
1.079686460E-1,8.877801299E-1,1.806608200E0,3.067475080E0
1.129453650E-1,3.157458305E-1,2.119804382E0,3.528219223E0
1.179956250E-1,-7.174551487E-2,2.153491020E0,3.992879868E0
1.230458860E-1,-2.249256372E-1,2.228183746E0,4.523095608E0
1.280961980E-1,-3.181988001E-1,2.587556839E0,4.936504841E0
1.331464070E-1,-1.966204643E-1,2.879777908E0,5.384002686E0
1.381966670E-1,-4.978239536E-2,2.987743378E0,5.896567345E0
1.432469270E-1,-1.899826527E-2,3.046092987E0,6.058784008E0
1.482971360E-1,1.122713089E-1,2.983602524E0,5.821880341E0
1.533473960E-1,2.267316580E-1,3.023359299E0,5.068226814E0
1.583977090E-1,7.080614567E-2,3.215167046E0,3.821146488E0
1.634479170E-1,-1.402705908E-1,3.244259834E0,2.313382387E0
1.684981770E-1,-1.174132824E-1,3.172206879E0,4.214094877E-1
1.735484380E-1,1.984798908E-2,2.863509178E0,-2.298377275E0
1.785986980E-1,8.728158474E-2,2.449395180E0,-4.916877270E0
1.836489590E-1,2.079201937E-1,2.144392014E0,-6.821378231E0
1.886992190E-1,2.779412270E-1,2.057908058E0,-7.236765862E0
1.937494270E-1,1.496554613E-1,1.891431808E0,-7.811533451E0
1.987996880E-1,3.347432613E-2,1.708305359E0,-8.374321938E0
2.038499480E-1,9.305620193E-2,1.657434464E0,-7.991179466E0
2.089002090E-1,-1.388088465E-1,1.653345108E0,-6.394134045E0
2.139504690E-1,-4.215648174E-1,1.612372398E0,-4.229324341E0
2.190007300E-1,-6.190704107E-1,1.672382355E0,-2.112764835E0
